Station_Name,Station_Name_Common,Coordinates
Whitehorn,whitehorn,POINT (-113.982099363637 51.0865730049039)
Marlborough,marlborough,POINT (-113.981405015301 51.0588837132309)
Marlborough,marlboro,POINT (-113.981405015301 51.0588837132309)
Anderson,anderson,POINT (-114.073791373778 50.9543330715548)
Saddletowne,saddletowne,POINT (-113.947656173985 51.1260513304744)
Saddletowne,saddletown,POINT (-113.947656173985 51.1260513304744)
69 Street,69 str,POINT (-114.186678675437 51.037388983229)
69 Street,69str,POINT (-114.186678675437 51.037388983229)
69 Street,69th str,POINT (-114.186678675437 51.037388983229)
69 Street,69 street,POINT (-114.186678675437 51.037388983229)
69 Street,69street,POINT (-114.186678675437 51.037388983229)
69 Street,69 st,POINT (-114.186678675437 51.037388983229)
69 Street,69st,POINT (-114.186678675437 51.037388983229)
69 Street,69th st,POINT (-114.186678675437 51.037388983229)
69 Street,69th street,POINT (-114.186678675437 51.037388983229)
Shawnessy,shawnessy,POINT (-114.070159512484 50.9108769621809)
Franklin,franklin,POINT (-113.994396873233 51.0466770577604)
45 Street,45 str,POINT (-114.152867151398 51.0381867796289)
45 Street,45str,POINT (-114.152867151398 51.0381867796289)
45 Street,45th str,POINT (-114.152867151398 51.0381867796289)
45 Street,45 street,POINT (-114.152867151398 51.0381867796289)
45 Street,45street,POINT (-114.152867151398 51.0381867796289)
45 Street,45 st,POINT (-114.152867151398 51.0381867796289)
45 Street,45st,POINT (-114.152867151398 51.0381867796289)
45 Street,45th st,POINT (-114.152867151398 51.0381867796289)
45 Street,45th street,POINT (-114.152867151398 51.0381867796289)
Sunalta,sunalta,POINT (-114.099727968387 51.0444005680388)
Heritage,heritage,POINT (-114.074597658482 50.979345815233)
Lions Park,lions park,POINT (-114.103554700774 51.065271784683)
University,university,POINT (-114.125176534795 51.0803613041901)
Crowfoot,crowfoot,POINT (-114.207961573912 51.1235717309746)
Martindale,martindale,POINT (-113.96772963494 51.117804794432)
Southland,southland,POINT (-114.077746967809 50.9645965128614)
McKnight-Westwinds,mcknight westwinds,POINT (-113.975212403158 51.1082967768527)
McKnight-Westwinds,mcknight,POINT (-113.975212403158 51.1082967768527)
McKnight-Westwinds,westwinds,POINT (-113.975212403158 51.1082967768527)
Brentwood,brentwood,POINT (-114.132667460945 51.0866420545578)
Dalhousie,dalhousie,POINT (-114.158285206669 51.1041600477249)
Chinook,chinook,POINT (-114.066639476691 50.9975362799524)
Rundle,rundle,POINT (-113.981992214563 51.0745349258603)
Canyon Meadows,canyon meadows,POINT (-114.066873176605 50.9371048548519)
Barlow/Max Bell,barlow max bell,POINT (-114.005716934965 51.0461907042964)
Barlow/Max Bell,barlow,POINT (-114.005716934965 51.0461907042964)
Barlow/Max Bell,max bell,POINT (-114.005716934965 51.0461907042964)
Westbrook,westbrook,POINT (-114.136631684393 51.0405008408605)
City Hall,city hall,POINT (-114.057961034991 51.0461280063029)
Tuscany,tuscany,POINT (-114.235680649188 51.1344386021816)
Zoo,zoo,POINT (-114.02549694396 51.0472629014696)
Sunnyside,sunnyside,POINT (-114.084356223838 51.0563929155061)
8 Street,eighth st,POINT (-114.079953165635 51.046915656246)
8 Street,eighth street,POINT (-114.079953165635 51.046915656246)
8 Street,8th st,POINT (-114.079953165635 51.046915656246)
8 Street,8th street,POINT (-114.079953165635 51.046915656246)
8 Street,8street,POINT (-114.079953165635 51.046915656246)
8 Street,8 street,POINT (-114.079953165635 51.046915656246)
8 Street,8 st,POINT (-114.079953165635 51.046915656246)
